,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
261,CASTEXTECH,Castex Technologies Limited,True,False,False
262,CASTROLIND,Castrol India Limited,True,False,False
263,CCCL,Consolidated Construction Consortium Limited,True,False,False
264,CCHHL,Country Club Hospitality & Holidays Limited,True,False,False
265,CCL,CCL Products (India) Limited,True,False,False
266,CDSL,Central Depository Services (India) Limited,True,False,False
267,CEATLTD,CEAT Limited,True,False,False
268,CEBBCO,Commercial Engineers & Body Builders Co Limited,True,False,False
269,CELEBRITY,Celebrity Fashions Limited,True,False,False
270,CELESTIAL,Celestial Biolabs Limited,True,False,False
271,CENTENKA,Century Enka Limited,True,False,False
272,CENTEXT,Century Extrusions Limited,True,False,False
273,CENTRALBK,Central Bank of India,True,False,False
274,CENTRUM,Centrum Capital Limited,True,False,False
275,CENTUM,Centum Electronics Limited,True,False,False
276,CENTURYPLY,Century Plyboards (India) Limited,True,False,False
277,CENTURYTEX,Century Textiles & Industries Limited,True,False,False
278,CERA,Cera Sanitaryware Limited,True,False,False
279,CEREBRAINT,Cerebra Integrated Technologies Limited,True,False,False
280,CESC,CESC Limited,True,False,False
281,CGCL,Capri Global Capital Limited,True,False,False
282,CGPOWER,CG Power and Industrial Solutions Limited,True,False,False
283,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,True,False,False
284,CHEMFAB,Chemfab Alkalis Limited,True,False,False
285,CHENNPETRO,Chennai Petroleum Corporation Limited,True,False,False
286,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,True,False,False
287,CHROMATIC,Chromatic India Limited,True,False,False
288,CIGNITITEC,Cigniti Technologies Limited,True,False,False
289,CIMMCO,Cimmco Limited,True,False,False
290,CINELINE,Cineline India Limited,True,False,False
291,CINEVISTA,Cinevista Limited,True,False,False
292,CIPLA,Cipla Limited,True,False,False
293,CLEDUCATE,CL Educate Limited,True,False,False
294,CLNINDIA,Clariant Chemicals (India) Limited,True,False,False
295,CMICABLES,CMI Limited,True,False,False
296,CNOVAPETRO,CIL Nova Petrochemicals Limited,True,False,False
297,COALINDIA,Coal India Limited,True,False,False
298,COCHINSHIP,Cochin Shipyard Limited,True,False,False
299,COFFEEDAY,Coffee Day Enterprises Limited,True,False,False
300,COLPAL,Colgate Palmolive (India) Limited,True,False,False
301,COMPINFO,Compuage Infocom Limited,True,False,False
302,COMPUSOFT,Compucom Software Limited,True,False,False
303,CONCOR,Container Corporation of India Limited,True,False,False
304,CONSOFINVT,Consolidated Finvest & Holdings Limited,True,False,False
305,CONTROLPR,Control Print Limited,True,False,False
306,CORALFINAC,Coral India Finance & Housing Limited,True,False,False
307,CORDSCABLE,Cords Cable Industries Limited,True,False,False
308,COROMANDEL,Coromandel International Limited,True,False,False
