,SYMBOL,NAME,INDFLAG,FO_FLAG
208,BIGBLOC,Bigbloc Construction Limited,0,0
209,BIL,Bhartiya International Limited,0,0
210,BILENERGY,Bil Energy Systems Limited,0,0
211,BILPOWER,Bilpower  Limited,0,0
212,BINANIIND,Binani Industries Limited,0,0
213,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,0,0
214,BIOCON,Biocon Limited,0,0
215,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,0,0
216,BIRLACABLE,Birla Cable Limited,0,0
217,BIRLACORPN,Birla Corporation Limited,0,0
218,BIRLAMONEY,Aditya Birla Money Limited,0,0
219,BKMINDST,Bkm Industries Limited,0,0
220,BLBLIMITED,BLB Limited,0,0
221,BLISSGVS,Bliss GVS Pharma Limited,0,0
222,BLKASHYAP,B. L. Kashyap and Sons Limited,0,0
223,BLS,BLS International Services Limited,0,0
224,BLUEBLENDS,Blue Blends (I) Limited,0,0
225,BLUECHIP,Blue Chip India Limited,0,0
226,BLUECOAST,Blue Coast Hotels Limited,0,0
227,BLUEDART,Blue Dart Express Limited,0,0
228,BLUESTARCO,Blue Star Limited,0,0
229,BODALCHEM,Bodal Chemicals Limited,0,0
230,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0,0
231,BOROSIL,Borosil Glass Works Limited,0,0
232,BOSCHLTD,Bosch Limited,0,0
233,BPCL,Bharat Petroleum Corporation Limited,0,0
234,BPL,BPL Limited,0,0
235,BRFL,Bombay Rayon Fashions Limited,0,0
236,BRIGADE,Brigade Enterprises Limited,0,0
237,BRITANNIA,Britannia Industries Limited,0,0
238,BRNL,Bharat Road Network Limited,0,0
239,BROOKS,Brooks Laboratories Limited,0,0
240,BSE,BSE Limited,0,0
241,BSELINFRA,BSEL Infrastructure Realty Limited,0,0
242,BSL,BSL Limited,0,0
243,BURNPUR,Burnpur Cement Limited,0,0
244,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0,0
245,BVCL,Barak Valley Cements Limited,0,0
246,BYKE,The Byke Hospitality Ltd,0,0
247,CADILAHC,Cadila Healthcare Limited,0,0
248,CALSOFT,California Software Company Limited,0,0
249,CAMLINFINE,Camlin Fine Sciences Limited,0,0
